,en_description,en_label,id,zh_description,zh_label
385,Italian comune,Potenza,Q3543,意大利的一个市镇,波坦察
386,Polish poet,Franciszek Karpiński,Q3547,,
387,"city in Šibenik-Knin County, Croatia",Šibenik,Q3549,,希贝尼克
388,"village in Botoșani County, Romania",Mileanca,Q3553,,
389,Italian comune,Monteferrante,Q3563,意大利的一个市镇,蒙泰费兰特
390,river in West Africa,Senegal River,Q3569,,塞内加尔河
391,Wikimedia category,Category:Slovenia in the Eurovision Song Contest,Q3571,维基媒体分类,
392,province of Indonesia,East Java,Q3586,印度尼西亞省,东爪哇省
393,Italian comune,Velezzo Lomellina,Q3592,意大利市镇,韦莱佐洛梅利纳
394,"commune in Charente, France",Chazelles,Q3595,法国市镇,沙泽勒
395,Italian comune,Calvignano,Q3601,意大利市镇,卡尔维尼亚诺
396,"city and commune in the Elqui Province, Coquimbo Region, Chile",Andacollo,Q3602,,安達科約
397,American voice actor (born 1930),Jack Angel,Q3603,,杰克·安吉尔
398,medical treatment,Occipital nerve stimulation,Q3614,,
399,"Synagogue in Kraków, Poland",Remuh Synagogue,Q3618,,萊姆猶太會堂
400,Chile's territorial claim in Antarctica,Chilean Antarctic Territory,Q3626,,智利南极领地
401,English actor and director,Justin Chadwick,Q3671,,贾斯廷·查德威克
402,Hindu temple,Kashi Vishwanath Temple,Q3675,,湿婆金庙
403,locality and former civil parish in Portugal,Anceriz,Q3679,,
404,federal subject of Russia,Krasnodar Krai,Q3680,,克拉斯诺达尔边疆区
405,chilean city,Caldera,Q3708,,卡爾德拉
406,city and commune in southern Chile,Carahue,Q3736,,卡拉韋
407,Chilean city and commune,Casablanca,Q3742,,卡薩布蘭卡
408,city and commune in Chile,Cauquenes,Q3749,,考克內斯
409,"town in Thuringia, Germany",Gera,Q3750,,格拉
410,capital of Cape Verde,Praia,Q3751,,培亞
411,city in the south of Russia,Maykop,Q3752,俄罗斯城市,邁科普
412,capital city of Ghana,Accra,Q3761,,阿克拉
413,overseas French department in the Guianas region,French Guiana,Q3769,,法屬圭亞那
414,French boxer,Laurent Dauthuille,Q3794,,
415,Chilean town and commune,Cobquecura,Q3796,,科布克庫拉
416,capital of Benin,Porto-Novo,Q3799,,波多诺伏
417,"city in Main-Kinzig-Kreis in Hesse, Germany",Hanau,Q3802,,哈瑙
418,Wikimedia category,Category:Sports templates,Q3811,维基媒体分类页,Category:体育模板
419,city quarter No. 104 of Cologne,Neustadt-Nord,Q3823,,
420,capital of Gabon,Libreville,Q3825,,利伯维尔
421,"city quarter No. 102 of Cologne, Germany",Neustadt-Süd,Q3830,,
422,capital city of the Democratic Republic of the Congo,Kinshasa,Q3838,,金夏沙
423,city and commune in southern Chile,Collipulli,Q3843,,科利普利
424,commune of Chile,Conchalí,Q3851,,孔查利
425,minor planet that is not a comet,asteroid,Q3863,不是彗星的小行星,小行星
426,"seat of Landkreis Gießen and city in Hesse, Germany",Gießen,Q3874,,吉森
427,Chilean town,Corral,Q3875,,科拉爾
428,capital of Zambia,Lusaka,Q3881,,路沙卡
429,"town in Recklinghausen District, in North Rhine-Westphalia, Germany",Dorsten,Q3886,,多斯滕
430,Autonomous community of Spain,Galicia,Q3908,西班牙自治区和一级行政区划,加利西亚
431,system that represents numeric values using two symbols; 0 and 1,binary numeral system,Q3913,,二进制
432,"town in Bavaria, Germany",Bamberg,Q3936,,巴姆贝格
433,federal subject of Russia,Astrakhan Oblast,Q3941,,阿斯特拉罕州
434,"town in Bavaria, Germany",Aschaffenburg,Q3942,,阿沙芬堡
435,"town in Unna District, in North Rhine-Westphalia, Germany",Unna,Q3949,,翁納
436,Roman god of water and the sea,Neptune,Q3954,,尼普顿
437,"city in Thuringia, Germany",Weimar,Q3955,,魏玛
438,Indian politician,V. P. Kalairajan,Q3996,,
439,1989 Tamil film directed by Velu Prabhakaran,Nalai Manithan,Q3997,,
440,"provincial school in Tellippalai, Sri Lanka",Mahajana College,Q4000,,
441,punk band from Bratislava,Rozpor,Q4002,,
442,Wikimedia category,Category:Armenian Genocide memorials,Q4003,维基媒体分类,
443,visual representation of a geographical area,geographic map,Q4006,根據一定的數學法則，將地球或其他星球的自然現象和社會現象通過概括和符號縮繪在平面上的圖形,地图
444,Egyptian pharaoh of the 20th dynasty,Ramesses IX,Q4009,,拉美西斯九世
445,mountain in Czech Republic,Mravenečník,Q4053,,
446,"town in the Euskirchen district, in North Rhine-Westphalia, Germany",Euskirchen,Q4074,,奧伊斯基興
447,French rugby union team,Lyon OU,Q4075,,
448,"town in the district of Mettmann, in North Rhine-Westphalia, Germany",Hilden,Q4094,,希尔登
449,lightest meson,pion,Q4097,,Π介子
450,"town in Baden-Württemberg, Germany",Baden-Baden,Q4100,,巴登-巴登
451,year,15 BC,Q4101,年份,前15年
452,"airport in Bron, France",Lyon-Bron Airport,Q4102,,
453,"village in West Lothian, Scotland",Stoneyburn,Q4112,,
454,"village in Scotland, United Kingdom",Dechmont,Q4114,,迪克德曼
455,"town in Bavaria, Germany",Schweinfurt,Q4126,,德国Schweinfurt
456,"French poet, novelist and editor",Louis Aragon,Q4128,,路易·阿拉贡
457,"town in South Lanarkshire, Scotland",Hamilton,Q4131,,漢密爾頓
458,"palace in Bavaria, Germany",Neuschwanstein Castle,Q4152,,新天鹅堡
459,"Iranian-American professor, historian, and author of Armenian descent",George Bournoutian,Q4153,,
460,Wikimedia category,Category:Universities and colleges by continent,Q4161,维基媒体分类,Category:各大洲大學
461,Wikimedia category,Category:Tajik Soviet Socialist Republic,Q4166,维基媒体分类,Category:塔吉克苏维埃社会主义共和国
462,"town in Bavaria, Germany",Passau,Q4190,德國巴伐利亞邦東部的一座直轄市,帕绍
463,"rural, hilly area in North Rhine-Westphalia, Germany",Sauerland,Q4194,,绍尔兰
464,year,42 BC,Q4201,年份,前42年
465,year,47 BC,Q4209,年份,前47年
466,"mountain range in North Rhine-Westphalia and Hesse, Germany",Rothaargebirge,Q4219,,红毛山脉
467,intergovernmental union,Union of South American Nations,Q4230,,南美洲国家联盟
468,Wikimedia category,Category:Moldavian Soviet Socialist Republic,Q4246,维基媒体分类,Category:摩尔达维亚苏维埃社会主义共和国
469,"square in the Perrache quarter, in the 2nd arrondissement of Lyon",Place Carnot (Lyon),Q4258,,卡诺广场
470,"French association football player, manager and executive",Michel Platini,Q4261,,米歇尔·普拉蒂尼
471,Wikimedia category,Category:History of Benin,Q4265,维基媒体分类,Category:貝南歷史
472,"French monk, a historian, a musical composer and a successful literary forger",Adémar de Chabannes,Q4267,,
473,American rock musician,Tom DeLonge,Q4270,,
474,political party in Spain,Democratic Party,Q4280,西班牙政党,民主党
475,lake in the North Island of New Zealand,Lake Tarawera,Q4284,,塔拉韋拉湖
476,term in finance and economics,investment,Q4290,,投资
477,national hero of Yugoslavia,Ante Bilobrk,Q4291,,
478,American film and television actor,Jon Abrahams,Q4293,,喬·阿布拉漢姆斯
479,American rock band,Coheed and Cambria,Q4299,,
480,Wikimedia category,Category:Top music schools,Q4312,维基媒体分类,
481,Greek historian and rhetorician,Theopompus,Q4318,,塞奥彭普斯
482,Wikimedia list article,list of languages by number of native speakers,Q4319,维基媒体列表条目,以母語人口排序的語言列表
483,Archbishop of Bourges,Alberich of Reims,Q4328,,
484,"note meant to be played as one that quickly ""slides"" or ""glides"" to another note",grace note,Q4334,,花音
485,Wikimedia category,Category:Sweden stubs,Q4352,维基媒体分类,Category:瑞典小作品
486,Wikimedia category,Category:Estonian Soviet Socialist Republic,Q4357,维基媒体分类,Category:爱沙尼亚苏维埃社会主义共和国
487,Ukrainian parliamentary election of 2012,2012 Ukrainian parliamentary election,Q4358,,2012年乌克兰议会选举
488,Wikimedia disambiguation page,DMG,Q4359,维基媒体消歧义页,DMG
489,"highly magnetized, rapidly rotating neutron star or white dwarf",pulsar,Q4360,,脉冲星
490,Flagship of the Tongan Maritime Force,Titilupe,Q4378,,
491,2014 edition of the ice hockey torunaments during the Olympic Winter Games,Ice hockey at the 2014 Winter Olympics,Q4382,,2014年冬季奧林匹克運動會冰球比賽
492,species of tree squirrel common throughout Eurasia,red squirrel,Q4388,哺乳动物物种,歐亞紅松鼠
493,Wikimedia disambiguation page,LX,Q4436,维基媒体消歧义页,
494,American poet,Emily Dickinson,Q4441,,艾米莉·迪金森
495,Wikimedia category,Category:Even-toed ungulates,Q4445,维基媒体分类,Category:偶蹄目
496,Wikimedia category,Category:World Heritage Sites in Indonesia,Q4459,维基媒体分类,Category:印尼世界遺產
497,2010 film by Shane Van Dyke,Titanic II,Q4466,,鐵達尼2號
498,Wikimedia category,Category:Soviet people,Q4467,维基媒体分类,Category:苏联人
499,asteroid,10018 Lykawka,Q4475,小行星,小行星10018
500,Swiss soul and pop singer,Stefanie Heinzmann,Q4489,,
501,"American actress, comedian and singer",Anna Faris,Q4491,美國女演員，喜劇演員和歌手,安娜·法瑞絲
502,United States Senator from Utah,Mitt Romney,Q4496,美国商人和政治家,米特·羅姆尼
503,Wikimedia category,Category:1421 births,Q4497,维基媒体分类,Category:1421年出生
504,female troubadours,Beatritz de Dia,Q4498,,
505,Wikimedia category,Category:Tunisian people,Q4515,维基媒体分类,Category:突尼斯人
506,national park in Indonesia,Komodo National Park,Q4520,,科莫多国家公园
507,Wikimedia category,Category:Political parties by ideology,Q4559,维基媒体分类,Category:依意識形態劃分的政黨
508,German volleyball club,Berlin Recycling Volleys,Q4568,,
509,national flag,flag of the Faroe Islands,Q4575,,法羅群島旗幟
510,"city and commune in Cachapoal, O'Higgins Region, Chile",Rancagua,Q4582,,兰卡瓜
511,currency of the Solomon Islands,Solomon Islands dollar,Q4597,,所罗门群岛元
512,"private research university in Los Angeles, California, United States",University of Southern California,Q4614,美国加利福尼亚州的一所大学,南加州大学
513,dialect of the Ripuarian Central German group of languages,Kölsch dialect,Q4624,,科隆語
514,Wikimedia category,Category:History of the Philippines,Q4637,维基媒体分类,Category:菲律宾历史
515,Scottish princess,Mary Stewart,Q4652,,
516,Primera A category of football professional Colombian in 1962,Colombian Championship 1962,Q4665,,
517,British writer,Matthew Kneale,Q4671,,
518,episode of Arrested Development (S1 E1),Pilot,Q4696,,
519,French composer,Claude Debussy,Q4700,法国作曲家,阿希尔-克洛德·德彪西
520,comet,C/2006 P1,Q4705,,麥克諾特彗星
521,Primera A category of football professional Colombian in 1967,Colombian Championship 1967,Q4708,,
522,Primera A category of football professional Colombian in 1991,Colombian Championship 1991,Q4720,,
523,Primera A category of football professional Colombian in 1993,Colombian Championship 1993,Q4721,,
524,"2nd Duke of Aarschot, 3rd Prince of Chimay and 3rd Count of Beaumont",Charles II de Croÿ,Q4723,,
525,football striker,Júnior César Moreira da Cunha,Q4740,,
526,American baseball season,2012 Major League Baseball season,Q4760,,2012年美國職棒大聯盟球季
527,Finnish composer,Ernst Mielck,Q4761,,
528,British jazz musician and composer,Roy Budd,Q4762,,
529,Literary award,Hawthornden Prize,Q4767,,豪森登獎
530,Dutch sports shooter (1852-1937),Anthony Sweijs,Q4769,,
531,structural element sustaining the weight of a building,column,Q4817,,柱
532,Wikimedia template,Template:New wave,Q4820,维基媒体模板,
533,"urban locality in Boksitogorsky District of Leningrad Oblast, Russia",Yefimovsky,Q4824,,
534,Wikimedia category,Category:tributary of Struma river,Q4829,维基媒体分类,
535,Wikimedia category,Category:1888 births,Q4834,维基媒体分类,Category:1888年出生
536,Polish basketball player,Rafał Bigus,Q4835,,
537,artillery battery,Spur Battery,Q4840,,
538,Colombian football championship,Colombian Championship 1973,Q4847,,
539,"railway station in in Kúty, Slovakia",Railway station Kúty,Q4851,,
540,Primera A category of football professional Colombian in 1986,Colombian Championship 1986,Q4865,,
541,Wikimedia template,Template:Arrondissements of Paris (navigational box),Q4874,维基媒体模板,
542,Dutch footballer,Jan de Kreek,Q4876,,
543,Duke of Hamilton in the Peerage of Scotland,"William Hamilton, Duke of Hamilton",Q4896,,哈密顿公爵威廉·哈密顿
544,main-belt minor planet,(6427) 1995 FY,Q4911,小行星,小行星6427
545,Norwegian politician,Birger Kildal,Q4926,,
546,Wikimedia category,Category:Popular music,Q4929,维基媒体分类,分类:流行音乐
547,healthcare practice supported by electronic processes,e-health,Q4930,,电子健康
548,"town in Chihuahua, Mexico",Matachí,Q4937,,
549,body of illegal gangs and criminal organisations operating in the Republic of Macedonia,Macedonian mafia,Q4940,,
550,Wikimedia category,Category:Geography of New Zealand,Q4949,维基媒体分类,Category:紐西蘭地理
551,Wikimedia category,Category:Islands of New Zealand,Q4950,维基媒体分类,Category:新西兰岛屿
552,"commune in Nièvre, France",Arleuf,Q4955,法国市镇,
553,red hypergiant star,NML Cygni,Q4957,,天鵝座NML
554,Wikimedia disambiguation page,Georgia,Q4962,维基媒体消歧义页,喬治亞
555,Wikimedia category,Category:Radio stations in Italy,Q4969,维基媒体分类,
556,multinational brewing and beverage company,SABMiller,Q4995,,南非米勒
557,town in the Villa Clara Province of Cuba,Ranchuelo,Q5003,,蘭丘埃洛
558,Wikimedia category,Category:19th century in the United Kingdom,Q5025,维基媒体分类,Category:19世纪英国
559,city in the Matanzas Province of Cuba,Colón,Q5029,,科隆
560,"locality in Borås Municipality, Västra Götaland County, Sweden",Sjömarken,Q5035,,
561,Wikimedia category,Category:Populated places in Gaziantep Province,Q5039,维基媒体分类,
562,Cuban municipality,Lajas,Q5045,,拉哈斯
563,Wikimedia voting template,Template:Support,Q5056,维基媒体模板,Template:Support
564,2010 song by Jennette McCurdy,Not That Far Away,Q5063,,
565,emperor of the Jin Dynasty (1115–1234),Emperor Xizong of Jin,Q5071,,金熙宗
566,emperor of the Jin Dynasty (1115–1234),Emperor Hailingwang of Jin,Q5072,金朝皇帝,完颜亮
567,province of Indonesia,Maluku,Q5093,,马鲁古省
568,grouping of five galaxies,Stephan's Quintet,Q5114,,史蒂芬五重星系
569,Wikimedia category,Category:Haan,Q5126,维基媒体分类,
570,Wikimedia template,Template:Lang-tr,Q5134,维基媒体模板,Template:Lang-tr
571,Wikimedia list article,deaths in 2012,Q5142,维基媒体列表条目,2012年逝世人物列表
572,Romance language originating on the Iberian peninsula,Portuguese,Q5146,语言,葡萄牙语
573,Wikimedia template,Template:Footy-stub,Q5156,维基媒体模板,Template:足球小作品
574,2006–2007 season of the FIS Alpine Skiing World Cup,2007 Alpine Skiing World Cup,Q5164,,2007年高山滑雪世界杯
575,French trouvère,Blondel de Nesle,Q5170,,
576,phylum of small marine pseudocoelomate invertebrates,Kinorhyncha,Q5182,,动吻动物门
577,phylum of animals,Onychophora,Q5191,,有爪动物门
578,12th-century French writer and theologian,Walter of Châtillon,Q5198,,
579,city in the south of Russia,Stavropol,Q5206,,斯塔夫罗波尔
580,year,1956,Q5221,年份,1956年
581,french painter,François-Édouard Picot,Q5233,,
582,year,1210,Q5250,年,1210年
583,year,1212,Q5255,年,1212年
584,royal Indian dynasty,Satavahana dynasty,Q5257,,百乘王朝
585,year,1926,Q5259,年,1926年
586,clock with special mechanisms and dials to display astronomical information,astronomical clock,Q5275,,天文钟
587,"municipality in the Märkischer Kreis, North Rhine-Westphalia, Germany",Nachrodt-Wiblingwerde,Q5279,,纳罗特-维布林格韦尔德
588,French puppeteer,Laurent Mourguet,Q5280,,
589,city of the Philippines and capital of the province of Tarlac,Tarlac City,Q5285,,塔拉克 (菲律宾)
590,"electronic circuitry within a computer that carries out the instructions of a computer program by performing the basic arithmetic, logical, control and input/output (I/O) operations specified by the instructions",central processing unit,Q5300,計算機內的電子電路，通過執行指令指定的基本算術，邏輯，控制和輸入/輸出操作來執行計算機程序的指令,中央处理器
591,typesetting system,TeX,Q5301,,TeX
592,tower in Seattle,Space Needle,Q5317,,太空針塔
593,passive electrical dipole which providing a constant ratio between tension and current,resistor,Q5321,,電阻器
594,electrical component used to store energy for a short period of time,capacitor,Q5322,,电容器
595,logarithmic unit expressing the ratio of a physical quantity,decibel,Q5329,,分貝
596,"Dutch draughts player and former politician, World champion",Harm Wiersma,Q5335,,
597,Slovene zoologist,Boris Sket,Q5345,,
598,Duke of Aquitaine and Gascony and Count of Poitou,William IX,Q5351,,威廉九世，阿基坦公爵
599,Slovene biologist,Narcis Mršić,Q5362,,
600,patron of troubadour poetry,Maria de Ventadorn,Q5363,,
601,French poet,Robert de Boron,Q5380,,
602,year,1218,Q5381,年份,1218年
603,"British musician, actor, record producer and arranger",David Bowie,Q5383,英国歌手、演员、唱片制作人及编曲人,大卫·鲍伊
604,motorsport involving the racing of cars for competition,auto racing,Q5386,涉及比賽用汽車的比賽的動力運動,賽車
605,major international sport event,Olympic Games,Q5389,国际体育运动会,奥林匹克运动会
606,dog breed,Great dane,Q5414,,大丹犬
607,year,1231,Q5417,年份,1231年
608,"capital city of the Mari El Republic, Russia",Yoshkar-Ola,Q5449,,约什卡尔奥拉
609,Fantasy roleplaying game,Ars Magica,Q5453,,
610,Italian author,Isabella Teotochi Albrizzi,Q5454,,
611,year,1247,Q5482,年份,1247年
612,year,1254,Q5500,年份,1254年
613,year,1256,Q5502,年份,1256年
614,year,1258,Q5506,年份,1258年
615,year,1259,Q5507,年份,1259年
616,year,1274,Q5527,年份,1274年
617,year,1275,Q5529,年份,1275年
618,year,1278,Q5533,年份,1278年
619,year,1290,Q5552,年份,1290年
620,Italian painter and musician,Bartolomeo Coghetto,Q5558,,
621,year,1298,Q5563,年份,1298年
622,"building in Treviso, Veneto, northern Italy",Palazzo dei Trecento,Q5565,,
623,Italian painter,Andrea del Sarto,Q5571,,安德烈亚·德尔·萨尔托
624,"one of the three doors of the sixteenth century walls of Treviso, Italy",Porta Santi Quaranta,Q5578,,
625,"German painter, printmaker, mathematician, and theorist",Albrecht Dürer,Q5580,,阿尔布雷希特·丢勒
626,branch of Botteniga,Canale dei Buranelli,Q5583,,
627,Japanese artist,Katsushika Hokusai,Q5586,,葛饰北斋
628,Dutch model,Marloes Horst,Q5587,,
629,Italian Renaissance painter,Antonello da Messina,Q5594,,安托内罗·达·梅西那
630,dune spit,Curonian Spit,Q5595,,庫爾斯沙嘴
631,Eastern European river,Neman River,Q5622,東歐河流,尼曼河
632,year,1305,Q5624,年,1305年
633,chronicler of the First Crusade,Fulcher of Chartres,Q5630,,
634,"town in the Hochsauerland district, in North Rhine-Westphalia, Germany",Meschede,Q5632,,梅舍德
635,"crusader and ""trouvère"" poet, born in 1150 in north of France",Conon de Béthune,Q5659,,
636,early Italian Renaissance painter,Fra Angelico,Q5664,,弗拉·安杰利科
637,Arabic poet,Abu Nuwas,Q5670,,阿布·努瓦斯
638,Japanese poet,Matsuo Bashō,Q5676,,松尾芭蕉
639,region of Finland,Southern Savonia,Q5693,,南萨沃尼亚区
640,archaeological site in Iraq,Ur,Q5699,,乌尔
641,town in Croatia,Bjelovar,Q5707,,别洛瓦尔
642,republic and federal subject of Russia,Republic of Bashkortostan,Q5710,,巴什科尔托斯坦共和国
643,region of Finland,Uusimaa,Q5711,,新地区
644,city of Mary Province in Turkmenistan,Mary,Q5713,,马雷
645,French military and political leader,Philippe Pétain,Q5721,,菲利普·贝当
646,city in Sri Lanka,Anuradhapura,Q5724,,阿努拉德普勒
647,year,1325,Q5774,年,1325年
648,regency in Aceh,Aceh Barat,Q5778,,
649,"city of Aceh Special Region Province, Indonesia",Banda Aceh,Q5779,,班達亞齊
650,Triumphal arch in Rome,Arch of Constantine,Q5786,,君士坦丁凱旋門
651,"regency of North Sumatra Province, Indonesia",Deli Serdang,Q5804,,日里雪冷县
652,"regency of North Sumatra Province, Indonesia",Humbang Hasundutan,Q5808,,洪邦哈孙杜丹县
653,Italian painter,Masaccio,Q5811,,马萨乔
654,Autonomous community of Spain,Canary Islands,Q5813,,加那利群岛
655,Chairman of the Central Committee of the Communist Party of China,Mao Zedong,Q5816,中国共产党中央委员会主席,毛泽东
656,Russian female 800m Olympic sprinter,Mariya Savinova,Q5820,,
657,Capital in Shaanxi Province China,Xi'an,Q5826,中国陕西省省会,西安市
658,"regency of North Sumatra Province, Indonesia",Langkat,Q5833,,朗卡特縣
659,municipality in central Spain,Toledo,Q5836,,托萊多
660,"regency of North Sumatra Province, Indonesia",Labuhanbatu Utara,Q5842,,北拉布汗巴土攝政
661,spider family,Actinopodidae,Q5845,,
662,main sequence stars,Blue straggler,Q5848,,藍偏離星
663,"team sport, code of rugby football",rugby union,Q5849,,联合式橄榄球
664,"regency of North Sumatra Province, Indonesia",Padang Lawas Utara,Q5857,,北巴東老越攝政
665,Chinese city and capital of Tibet,Lhasa,Q5869,中国西藏自治区首府,拉萨市
666,"type of star with a radius 10-100 times, and luminosity 10-1000x that of the Sun",giant star,Q5875,,巨星
667,type of small and relatively-cool star,red dwarf,Q5893,表面温度低、颜色偏红的矮恒星,紅矮星
668,BBC science-fiction comedy drama television programme,Red Dwarf,Q5902,英国科幻电视剧,红矮星号
669,"Roman-Catholic cathedral in Aachen, Germany",Aachen Cathedral,Q5908,,亚琛主教座堂
670,"regency of North Sumatra Province, Indonesia",Nias Barat,Q5909,,西尼亚斯县
671,"essentially an extreme form of ballistic flight,use of space technology to achieve the flight of spacecraft into and through outer space, used in space exploration, and also in commercial activities like space tourism and satellite telecommunications",spaceflight,Q5916,,航天
672,"American rock-and-roll guitarist, singer, songwriter",Chuck Berry,Q5921,,恰克·贝瑞
673,"district in Lower Saxony, Germany",Osnabrück,Q5940,,奥斯纳布吕克县
674,"district in Lower Saxony, Germany",Wesermarsch,Q5948,,韦塞马施县
675,Wikimedia list article,list of iCarly episodes,Q5951,维基媒体列表条目,
676,Roman historian,Quintus Curtius Rufus,Q5959,,库尔提斯
677,top division of the English rugby union system,English Premiership,Q5960,,英格兰橄榄球超级联赛
678,"district in Lower Saxony, Germany",Holzminden,Q5973,,霍尔茨明登县
679,stellar remnant,black dwarf,Q5976,,黑矮星
680,"district in North Rhine-Westphalia, Germany",Siegen-Wittgenstein,Q5982,,锡根-维特根施泰因县
681,vocal technique used with spoken or chanted rhyming lyrics,rapping,Q6010,,饒舌
682,"town in the Hochsauerland district, in North Rhine-Westphalia, Germany",Sundern,Q6015,,孙德尔恩
683,municipality in the region of Southern Ostrobothnia in Finland,Lappajärvi,Q6020,,拉帕耶爾維
684,year,1342,Q6069,年,1342年
685,"regency of West Sumatra Province, Indonesia",Tanah Datar,Q6093,,塔納達塔爾王國
686,Brazilian television host,Hebe Camargo,Q6105,,赫柏·卡马戈
687,"city in Oregon, United States of America",Portland,Q6106,美国俄勒冈州城市,波特兰
688,"district in Brandenburg state, Germany",Oberhavel District,Q6119,,上哈维尔县
689,year,1355,Q6123,年,1355年
690,year,1500,Q6126,年,1500年
691,year,1356,Q6130,年,1356年
692,year,1357,Q6135,年,1357年
693,year,1408,Q6138,年,1408年
694,year,1358,Q6140,年,1358年
695,year,1359,Q6143,年,1359年
696,"town in North Rhine-Westphalia, Germany",Soest,Q6149,,索斯特
697,"District in Brandenburg state, Germany",Elbe-Elster District,Q6152,德国勃兰登堡州南部的一个县,易北-埃尔斯特县
698,year,1506,Q6154,年,1506年
699,municipality in the region of Southern Ostrobothnia in Finland,Teuva,Q6167,,泰烏瓦
700,year,1509,Q6177,年,1509年
701,year,1415,Q6183,年,1415年
702,Roman poet,Plotius Tucca,Q6184,,
703,German district of North Rhine-Westphalia,Steinfurt,Q6187,,施泰因富特县
704,year,1516,Q6212,年,1516年
705,city in the West Midlands in England,Coventry,Q6225,,考文垂
706,German district in North Rhine-Westphalia,Lippe,Q6230,,利珀县
707,"district in North Rhine-Westphalia, Germany",Rhein-Kreis Neuss,Q6253,,诺伊斯莱茵县
708,second of the Jewish–Roman wars,Kitos War,Q6254,,
709,Italian comune,Pavia,Q6259,意大利市镇,帕維亞
710,year,1517,Q6263,年,1517年
711,year,1423,Q6267,年,1423年
712,year,1376,Q6282,年份,1376年
713,year,1425,Q6283,年,1425年
714,year,1520,Q6284,年,1520年
715,fighter aircraft,G.55 Centauro,Q6318,,G.55战斗机
716,Colombian,Caterine Ibargüen,Q6348,,卡特琳·伊巴古恩
717,year,1434,Q6360,年,1434年
718,process when a planet is stripped of its atmosphere,Photoevaporation,Q6361,,光致蒸發
719,Russian athlete,Yevgeniya Kolodko,Q6363,,
720,"subdivision of Freital in Sächsische Schweiz-Osterzgebirge district, Germany",Somsdorf,Q6376,,
721,year,1391,Q6378,年份,1391年
722,year,1392,Q6382,年份,1392年
723,self propulsion of a person through water or other liquid,swimming,Q6388,人類不藉外力在水或其它液體中移動,人類游泳
724,"commune in Corrèze, France",Brive-la-Gaillarde,Q6393,法国市镇,布里夫拉盖亚尔德
725,year,1394,Q6398,年份,1394年
726,year,1396,Q6405,年份,1396年
727,Czech javelin thrower,Barbora Špotáková,Q6419,,巴伯拉·斯伯塔科娃
728,German athlete,Christina Obergföll,Q6427,,
729,"head river of the Weser in Hesse, Germany",Fulda,Q6434,,富尔达河
730,Italian single-engined monoplane,Reggiane Re.2004,Q6435,,
731,"municipality in the Sächsische Schweiz-Osterzgebirge district in Saxony, Germany",Bahretal,Q6438,,巴雷塔尔
732,year,1448,Q6439,年,1448年
733,"city in Hérault, France",Montpellier,Q6441,法国市镇,蒙彼利埃
734,year,1533,Q6443,年,1533年
735,year,1451,Q6455,年,1451年
736,year,1452,Q6460,年,1452年
737,"town in the Free State of Saxony, Germany",Pirna,Q6477,,皮尔纳
738,military transport aircraft,C-295,Q6499,,C-295運輸機
739,twin-jet narrow-body airliner family,Sud Aviation Caravelle,Q6503,,卡拉維爾客機
740,family of airliners,One-Eleven,Q6504,,BAC 1-11
741,comic fiction by James Joyce,Finnegans Wake,Q6507,,芬尼根守靈夜
742,"Danish philosopher and theologian, precursor of Existentialism",Søren Kierkegaard,Q6512,,索倫·奧貝·克爾凱郭爾
743,order of viruses,Herpesvirales,Q6542,,
744,"federal subject of Russia, republic of Russia",Republic of Khakassia,Q6543,俄罗斯联邦主体,哈卡斯共和国
745,year,1550,Q6557,年,1550年
746,Wikimedia category,Category:Astronomers,Q6562,维基媒体分类,Category:天文学家
747,year,1470,Q6569,年份,1470年
748,red wine along with various spices and raisins,mulled wine,Q6584,,香料酒
749,any object in the Solar System that orbits the Sun at a greater average distance than Neptune,trans-Neptunian object,Q6592,,海王星外天體
750,year,1473,Q6594,年份,1473年
751,Italian comune,Gorizia,Q6596,意大利的一个市镇,戈里齐亚
752,resonant trans-Neptunian object,plutino,Q6599,,冥族小天體
753,"commune in Nord, France",Steenvoorde,Q6603,法国市镇,斯滕福德
754,"municipality in the comarca of Alt Empordà, Girona, Catalonia, Spain",Maçanet de Cabrenys,Q6615,,马斯萨内特德卡夫雷尼斯
755,year,1564,Q6632,年份,1564年
756,Metropolitan City of Nepal,Pokhara,Q6640,,博克拉
757,mountain in the Pyrenees of southern France,Canigou,Q6650,,
758,year,1569,Q6653,年份,1569年
759,South Slavic language,Croatian,Q6654,语言,克罗地亚语
760,"municipality in the Sächsische Schweiz-Osterzgebirge district, in Saxony, Germany",Dorfhain,Q6685,,多夫海恩
761,Identifier for a time offset from UTC of +1:30 (no longer used),UTC+01:30,Q6706,,UTC+01:30
762,"municipality in the Sächsische Schweiz-Osterzgebirge district, in Saxony, Germany",Hartmannsdorf-Reichenau,Q6710,,哈尔特曼斯多夫-赖歇瑙
763,Italian comune,Grosseto,Q6716,意大利市镇,格罗塞托
764,year,1603,Q6735,年,1603年
765,year,1587,Q6744,年份,1587年
766,year,1606,Q6747,年,1606年
767,1901-1978 automotive manufacturer,Berliet,Q6750,,贝利埃
768,"commune in Pyrénées-Orientales, France",Banyuls-sur-Mer,Q6753,法国市镇,滨海巴尼于尔
769,year,1607,Q6756,年,1607年
770,year,1608,Q6758,年,1608年
771,Italian association football club,Associazione Sportiva Livorno Calcio,Q6767,,利沃诺足球俱乐部
772,year,1593,Q6772,年份,1593年
