,en_description,en_label,id,zh_description,zh_label
294,memory storage capacity of some data storage device,memory capacity,P2928,,
295,identifier for an individual or business entity listed in the  University of Oxford's Bodleian Libraries' British Book Trade Index database,British Book Trade Index ID,P2945,,
296,"identifier in Nomisma.org, a linked open data thesaurus of numismatic concepts",Nomisma ID,P2950,,
297,identifier of a ship,boat of heritage interest ID,P2952,,
298,identifier for films in the German Kinopolis database,Kinopolis film ID,P2970,,
299,ID of a church on GCatholic.org,GCatholic church ID,P2971,,
300,"identifier for an ancient person, in the SNAP project",SNAP ID,P2972,,
301,"the natural environment in which an organism lives, or the physical environment that surrounds a species population",habitat,P2974,,
302,"minimum age at which a person is generally allowed by law to marry. Use qualifier ""applies to part"" (P518), to specify if it applies only to males (Q6581097), females (Q6581072) or both genders (Q27177113)",marriageable age,P3000,"一般法律许可最小结婚年龄,性别不同，法定结婚年龄也不同。",法定结婚年龄
303,place where a statement is valid,valid in place,P3005,,
304,team or crew that is kept ready to act as reserve,backup or reserve team or crew,P3015,,
305,identifier in the French national research structure repertory,French national research structure identifier,P3016,,
306,package management system used to publish the software,package management system,P3033,包管理系统用于发布软件,软件包管理系统
307,"identifier for a war memorial, in the UK Imperial War Museum's War Memorials Register",IWM memorial ID,P3038,,
308,distance between centers of front wheel and rear wheel,wheelbase,P3039,,
309,"identifier for a person, band, radio station or other entity, on SoundCloud",SoundCloud ID,P3040,聲雲上的個人，樂隊，廣播電台或其他實體的標識符,聲雲標識符
310,official identifier of a person elected to the National Assembly of Quebec (NAQ) or one of its predecessors,NAQ elected person ID,P3055,,
311,"GS1 Prefix, the first three digits, usually identifying the national GS1 Member Organization to which the manufacturer is registered (not necessarily where the product is actually made)",GS1 country code,P3067,,
312,"entropy content of one mole of substance under standard conditions (25°C, 1 bar)",standard molar entropy,P3071,,
313,physical items destroyed by this event,destroyed,P3082,,
314,"identifier for an astronomical object, in the University of Strasbourg's SIMBAD database",SIMBAD ID,P3083,,
315,this event qualifies for that event,qualifies for event,P3085,,
316,identifier for a specific flight,flight number,P3090,,航班编号
317,"member of the crew creating an audiovisual work, used for miscellaneous roles qualified with the job title when no specific property exists. Don't use if such a property is available: notably for cast member (P161), director (P57), etc.",film crew member,P3092,,
318,"person, organisation or vehicle that recovered the item. Use the most specific value known.",recovered by,P3093,,
319,"identifier for a plant taxon, in the Flora of Australia Online",Flora of Australia ID (old),P3100,,
320,identifier of a dub version for a film in the ISzDb (a Hungarian dub database),ISzDb dub ID,P3116,,
321,"Identifier for a British settlement, in the OpenDomesday digitisation of the Domesday Book",OpenDomesday settlement ID,P3118,,
322,"identifier for a scientist, in the Polish Government's Information Processing Centre database",Polish scientist ID,P3124,,
323,identifier of a philosopher in the ALCUIN Infothek der Scholastik,ALCUIN ID,P3126,,
324,identifier for a movie at the Greek movie database cine.gr,cine.gr film ID,P3129,,
325,"item for day and month on which the subject was born. Used when full ""date of birth"" (P569) isn't known.",birthday,P3150,出生月和日。用於無法得知完整「出生日期」(P569)時,生日
326,"identifier for an organisation that funds research, in the Crossref registry",Crossref funder ID,P3153,,
327,Identifier for book item in the Runeberg digital library collection,Runeberg book ID,P3155,,
328,identifier for a professor at the Ghent University,UGentMemorialis ID,P3159,,
329,identifier for a horse on Horsetelex database,Horsetelex ID,P3165,,
330,"things, places another place offers views on",offers view on,P3173,,
331,person credited as the art director/artistic director of this work,art director,P3174,,
332,identifier of a building or site in Patrimonio Web of Junta de Castilla y León,Patrimonio Web JCyL ID,P3177,,
333,identifier at the Visual Novel Database,Visual Novel Database ID,P3180,視覺小說數據庫中的標識符,视觉小说数据库标识符
334,"identifier for a professor, in the Marburger Professorenkatalog of professors at the Philipps-Universität Marburg, Germany",Marburger Professorenkatalog ID,P3187,,
335,"identifier for an earthquake or other seismic event, in the United States Geological Survey database",USGS earthquake ID,P3196,,USGS地震資料庫ID
336,Charity number of a charity or charitable organisation registered on the Isle of Man,charity number (Isle of Man),P3199,,
337,was treated or studied as a patient by this person,patient of,P3205,,
338,number of a French establishment or company,SIRET number,P3215,,
339,classification in the North American Industry Classification System,NAICS code,P3224,,
340,the operating temperature where the culturing of micro-organisms and/or enzyme activity thrives best,optimum viable temperature,P3253,,
341,URL of the page (or page section) on which the creation of the property was discussed,property proposal discussion,P3254,进行了創建属性的讨论的页面（或页面章節）的url,属性提议讨论
342,unique identifier in the Dutch Actorenregister database,Actorenregister ID,P3273,,
343,unique identifier of an event or conference series of the Association for Computing Machinery (ACM),ACM Digital Library event ID,P3333,,
344,identifies candidates in US elections for national and state government within Project Vote Smart's database,Vote Smart ID,P3344,,
345,what the vehicle or class of vehicles is or was designed to carry,designed to carry,P3349,,
346,the presence of the genetic variant helps to prognose good outcome for the disease,positive prognostic predictor,P3358,,
347,identifier of a film company in the German Early Cinema Database,GECD Firmen-ID,P3375,,
348,"poster used to promote and advertise this film (if file is available on Commons). Use P154 for logos, P18 for movie stills and related images. Items about film posters can be linked with the qualifier ""subject of"" (P805).",film poster,P3383,,电影海报
349,ID for a lake in the Järviwiki database of Finnish lakes over 1 ha in extent.,Finnish Lake ID,P3394,,
350,identifier in the members' database of the Leopoldina – German Academy of Sciences,Leopoldina member ID,P3413,,
351,last period in which the statement is still valid (including the period-value),end period,P3416,,
352,closest parent cell line of the cell line in question,parent cell line,P3432,,
353,identifier of a journal in ERIH PLUS,ERIH PLUS ID,P3434,,
354,angular resolution of an optical instrument,angular resolution,P3439,,
355,"Identifier number in ""Cinema of Israel"" website",Cinema of Israel ID,P3445,,
356,the website automatically crawls or mirrors another website as its data source,mirrors data from,P3447,,
357,"image of the subject at night, or at least in twilight",nighttime view,P3451,,夜景
358,The Israeli municipal code (Hebrew סמל) is an outline encoding used by the Israel Central Bureau of Statistics to finely fine-tune their statistics. It's a unique identifier given to each municipality in Israel.,Israeli CBS municipal ID,P3466,,
359,identifier for an inductee in the United States National Inventors Hall of Fame,National Inventors Hall of Fame ID,P3468,,
360,name of the official Ubuntu package,Ubuntu package,P3473,,
361,identifier of a historical building in the cultural heritage database of the Lombardy Region of Italy,LombardiaBeniCulturali building ID,P3503,,
362,identifier assigned to a person by the Museum of New Zealand Te Papa Tongarewa,Te Papa person ID,P3544,,
363,ID for a VFL/AFL player at afltables.com,AFL Tables player ID,P3547,,
364,ID on the World Curling Tour database,World Curling Tour ID,P3556,,
365,ID for American or Canadian football player in www.justsportsstats.com,Just Sports Stats ID,P3566,,
366,ID for a Major League Baseball player at ESPN.com,ESPN.com MLB player ID,P3571,,
367,identifier for American football players in the Pro Football Hall of Fame,Pro Football Hall of Fame ID,P3581,,
368,"identifier for a golf player, in the SunshineTour database",SunshineTour golf player ID,P3582,,
369,,Saros cycle of eclipse,P3592,,沙羅周期
370,identifier for a taxon in araneae.nmbe.ch,Araneae Spider ID,P3594,,
371,identifier for small molecules and ligands in the Protein Data Bank (PDB),PDB ligand ID,P3636,,
372,ID of a player at TheAHL.com,American Hockey League player ID,P3651,,
373,ID for a football player at FootballFacts.ru,FootballFacts.ru player ID,P3660,,
374,identifier for a rugby player on the South African Rugby Union website,SA Rugby player ID,P3678,,
375,entity that supports a given statement,statement supported by,P3680,,主張此敘述者
376,"identifier for a short track speed skater on the ShorttrackOnLine.info website, based on ISU ID",short-track speed skater ISU ID,P3693,,
377,identifier for a speed skater on the SpeedSkatingNews.info website,SpeedSkatingNews.info speed skater ID,P3694,,
378,identifier for a college football player on the Sports Reference college football (SRCFB) website,Sports-Reference.com college football player ID,P3697,,
379,manuscript identifier in the British Library Catalogue of Illuminated Manuscripts,Catalogue of Illuminated Manuscripts ID,P3702,,
380,short sequence of bytes to identify a longer cryptographic public key,public key fingerprint,P3721,,
381,item for categories of pages with template parameter value same as Wikidata,category for value same as Wikidata,P3734,,
382,maximum wavelength that the item can detect,maximum wavelength of sensitivity,P3737,,
383,ID of a documentary film at Korean Movie Database,KMDb documentary film ID,P3750,,
384,database about the judges of Israel,Shoftim BeIsrael judge ID,P3751,,
385,time complexity of an algorithm at most,worst-case time complexity,P3752,一個演算法在最差情況的時間複雜度,最差時間複雜度
386,protein for which this chemical acts as an agonist,agonist of,P3772,,
387,identifier of an artist in the Artnet database of auction results,Artnet artist ID,P3782,,Artnet 藝術家編號
388,identifier for a silent film in danskefilm.dk,danskefilm silent film ID,P3787,,
389,identifier for a plant taxon or cultivar in the Flora of Israel Online database,Flora of Israel Online plant ID,P3795,,
390,identifier for a municipality in Mexico published by INEGI,INEGI municipality ID,P3801,,
391,"identifier for an author of scholarly works, at mendeley.com",Mendeley person ID,P3835,,
392,Identifier for a gene in the FlyBase database of Drosophila genes and genomes,FlyBase Gene ID,P3852,,
393,identifier for a person in the MyDramaList database,MyDramaList name ID,P3862,,
394,"phonetic algorithm for indexing names by sound, as pronounced in English. Format: initial of word followed by 3 digits (0-6)",Soundex,P3878,,
395,identifier for an athlete on the National Track & Field Hall of Fame webpages,National Track & Field Hall of Fame athlete ID,P3881,,
396,identifier of a person or topic in the History of Modern Biomedicine database,History of Modern Biomedicine ID,P3885,,
397,identifier for an artist in the Museum Boijmans Van Beuningen,Boijmans artist ID,P3888,,
398,identifier for a visual artist for their droit de suite (money collection with artwork transfers) of the Dutch collective rights management organisation PictoRight and sister organisations worldwide,PictoRight ID-Droit de suite,P3892,,
399,typographical column in the page of a document,column,P3903,,
400,ID of a developer at MobyGames,MobyGames developer ID,P3913,,
401,identifier for an Australian athlete on the Athletics Australia website,Athletics Australia athlete ID,P3915,,
402,identifier for a concept in the UNESCO Thesaurus,UNESCO Thesaurus ID,P3916,,教科文组织同义词库ID
403,identifier for an athlete on the IAAF Diamond League website,IAAF Diamond League athlete ID,P3923,,
404,"identifier of a person in the database of the Valencian Library, the regional library in the Land of Valencia, Spain",Digital Valencian Library author ID,P3932,,
405,identifier in the English Short Title Catalogue,ESTC citation number,P3939,,
406,ID in the Israeli Antiquities Authority archive,Israel Antiquities Authority ID,P3941,,
407,account name on Tumblr,Tumblr ID,P3943,湯博樂上的帳戶名稱,湯博樂標識符
408,more specific subclass included in other ontology but not in Wikidata,narrower external class,P3950,,
409,identifier for a female golf player on the Australian Ladies Professional Golf website,ALPG Tour golf player ID,P3953,,
410,identifier for a basketball player on the RealGM website,RealGM basketball player ID,P3957,,
411,identifier of a person on unifrance.org,Unifrance person ID,P3980,,
412,"identifier for person, film (movie) or TV series, in the filmweb.pl database",Filmweb.pl ID,P3995,,
413,this item's username on Vimeo,Vimeo username,P4015,此項目在我視頻上的用戶名,我視頻用戶名
414,identifier for a animated film in danskefilm.dk,danskefilm animated film ID,P4021,,
415,"identifier for a taxon, in the Animal Diversity Web database",ADW taxon ID,P4024,,
416,identifier for a graduate of the US Military Academy (West Point),Cullum number,P4026,,
417,"identifier in the Danish List of a Lighthouse, beacon or fog signal in the Kingdom of Denmark",Danish List of Lights and Fog signals ID,P4038,,
418,identifier for a Chinese athlete at the Chinese Olympic Committee's CIS Chinese Athletes Database website,Chinese Olympic Committee athlete ID,P4068,,
419,"identifier of a topic's wiki, in Fandom.com",Fandom wiki ID,P4073,維基亞中一個主題維基的標識符,维基亚维基标识符
420,identifier for a motorcycle racer on the WorldSBK.com website,WorldSBK.com racer identifier,P4076,,
421,identifier of the Theatres Trust Database,Theatres Trust Database ID,P4079,,
422,number of houses in given territorial entity,number of houses,P4080,,
423,identifier for a person or ensemble in the Carnegie Hall Linked Open Data (LOD),Carnegie Hall agent ID,P4104,,
424,URI in the urn:nbn: namespace as specified by RFC 3188,URN-NBN,P4109,,
425,identifier for an economic data set provided by St. Louis Fed's Federal Reserve Economic Data (FRED),FRED time-series ID,P4113,,
426,"universal identifier from Infrastructure for Spatial Information in the European Community (INSPIRE), used across EU databases",INSPIRE ID,P4115,,
